country,city,productLine,No_of_products
Spain,Madrid,"Classic Cars",114
USA,"San Rafael","Classic Cars",67
Spain,Madrid,"Vintage Cars",66
USA,NYC,"Classic Cars",63
USA,"San Rafael","Vintage Cars",49
Spain,Madrid,"Trucks and Buses",39
USA,"San Rafael","Trucks and Buses",36
Singapore,Singapore,"Classic Cars",32
USA,NYC,Motorcycles,31
Switzerland,GenÃƒÂ¨ve,"Classic Cars",31
Spain,Madrid,Ships,30
"New Zealand","Auckland  ","Classic Cars",30
France,Paris,"Classic Cars",26
USA,"San Francisco","Vintage Cars",25
Spain,Madrid,Planes,25
France,Paris,Motorcycles,25
Australia,"North Sydney","Classic Cars",24
Germany,KÃƒÂ¶ln,"Classic Cars",23
Singapore,Singapore,"Trucks and Buses",23
UK,Manchester,"Vintage Cars",22
Italy,"Reggio Emilia","Classic Cars",22
"New Zealand","Auckland  ","Vintage Cars",22
Italy,Bergamo,"Vintage Cars",22
USA,"New Bedford","Classic Cars",21
Italy,Bergamo,Planes,21
USA,NYC,"Vintage Cars",20
USA,"Las Vegas","Classic Cars",20
Finland,Espoo,"Classic Cars",20
Denmark,Ãƒâ€¦rhus,"Classic Cars",20
USA,Philadelphia,"Classic Cars",20
Australia,Chatswood,"Vintage Cars",20
USA,Brickhaven,"Classic Cars",20
UK,Manchester,"Classic Cars",19
Austria,Salzburg,"Classic Cars",19
USA,NYC,"Trucks and Buses",18
UK,Liverpool,"Classic Cars",18
USA,Nashua,"Classic Cars",18
France,Lille,Motorcycles,18
USA,"San Francisco",Motorcycles,18
Spain,Madrid,Motorcycles,17
"Norway  ",Bergen,"Classic Cars",17
France,Marseille,"Classic Cars",17
Australia,"Glen Waverly","Vintage Cars",17
Italy,Torino,"Vintage Cars",17
France,Nantes,Motorcycles,16
"New Zealand","Auckland  ",Motorcycles,16
France,Lyon,"Vintage Cars",15
Denmark,Kobenhavn,"Classic Cars",14
Singapore,Singapore,"Vintage Cars",14
Australia,Melbourne,Motorcycles,14
France,Strasbourg,"Classic Cars",14
"New Zealand",Wellington,"Vintage Cars",14
France,Nantes,Planes,14
Spain,Madrid,Trains,13
Denmark,Kobenhavn,Ships,13
Australia,Melbourne,Planes,13
Philippines,"Makati City","Classic Cars",13
USA,"San Jose","Vintage Cars",13
USA,Nashua,"Vintage Cars",13
USA,"San Jose",Planes,13
Germany,Frankfurt,"Classic Cars",13
France,Reims,"Classic Cars",13
USA,Pasadena,Motorcycles,13
USA,NYC,Ships,13
Australia,Melbourne,"Vintage Cars",12
France,Reims,Planes,12
"Hong Kong","Central Hong Kong",Planes,12
Australia,Melbourne,"Classic Cars",12
USA,Cambridge,Motorcycles,12
France,Versailles,"Vintage Cars",12
USA,Bridgewater,"Classic Cars",12
USA,Glendale,Planes,12
Belgium,Bruxelles,"Vintage Cars",12
USA,Brickhaven,"Vintage Cars",11
USA,Boston,Ships,11
USA,Burlingame,Motorcycles,11
USA,Brisbane,"Vintage Cars",11
"New Zealand","Auckland  ",Planes,11
USA,"San Francisco","Classic Cars",11
USA,Boston,"Classic Cars",11
"Norway  ",Oslo,"Classic Cars",11
USA,"New Bedford","Vintage Cars",11
USA,"New Bedford",Ships,11
Canada,Vancouver,"Trucks and Buses",11
France,Nantes,"Classic Cars",10
USA,"San Rafael",Motorcycles,10
USA,"San Jose","Classic Cars",10
Canada,Tsawassen,Planes,10
Belgium,Bruxelles,Ships,10
USA,"San Rafael",Ships,10
USA,"New Bedford",Planes,10
"Norway  ",Oslo,Planes,10
USA,Burlingame,Planes,10
Australia,Chatswood,"Classic Cars",10
France,Lyon,"Classic Cars",10
"New Zealand",Auckland,"Vintage Cars",10
Italy,"Reggio Emilia",Planes,10
Japan,Kita-ku,Planes,10
Norway,Stavern,"Trucks and Buses",9
France,Paris,"Trucks and Buses",9
Spain,Barcelona,Ships,9
USA,"Las Vegas","Vintage Cars",9
Finland,Helsinki,"Classic Cars",9
USA,Newark,Planes,9
Australia,"North Sydney","Trucks and Buses",9
USA,Cambridge,"Trucks and Buses",9
USA,Philadelphia,"Vintage Cars",9
USA,Allentown,"Trucks and Buses",9
USA,"White Plains",Planes,9
Finland,Oulu,"Classic Cars",9
USA,Burbank,"Vintage Cars",9
Finland,Helsinki,Motorcycles,9
UK,Liverpool,Motorcycles,9
Sweden,BrÃƒÂ¤cke,"Classic Cars",9
UK,Cowes,Planes,9
Sweden,LuleÃƒÂ¥,"Classic Cars",8
UK,London,Ships,8
Germany,Munich,Planes,8
Sweden,BrÃƒÂ¤cke,"Vintage Cars",8
France,Nantes,"Trucks and Buses",8
UK,London,"Classic Cars",8
USA,Boston,"Trucks and Buses",8
UK,London,"Vintage Cars",8
USA,"San Diego","Classic Cars",8
UK,London,"Trucks and Buses",8
Canada,Tsawassen,Ships,8
Canada,MontrÃƒÂ©al,"Classic Cars",8
USA,"San Rafael",Trains,8
USA,Bridgewater,Motorcycles,8
"New Zealand","Auckland  ",Ships,8
USA,Allentown,"Classic Cars",8
Sweden,BrÃƒÂ¤cke,Ships,8
Australia,Chatswood,Planes,8
UK,Cowes,Ships,8
Norway,Stavern,"Classic Cars",7
Norway,Stavern,"Vintage Cars",7
USA,Burlingame,"Trucks and Buses",7
Australia,"North Sydney","Vintage Cars",7
"Norway  ",Bergen,Motorcycles,7
Norway,Stavern,Motorcycles,7
Sweden,BrÃƒÂ¤cke,"Trucks and Buses",7
France,Toulouse,Ships,7
UK,Manchester,Ships,7
Philippines,"Makati City",Motorcycles,7
Japan,Minato-ku,"Vintage Cars",7
France,Paris,"Vintage Cars",7
Finland,Oulu,Ships,7
USA,"Los Angeles","Classic Cars",7
USA,Boston,"Vintage Cars",7
USA,Allentown,Motorcycles,7
USA,Cambridge,"Classic Cars",7
Finland,Oulu,"Trucks and Buses",7
France,Lyon,Ships,7
UK,Cowes,"Vintage Cars",7
Spain,Sevilla,"Trucks and Buses",7
France,Lyon,"Trucks and Buses",7
"New Zealand",Auckland,"Classic Cars",7
USA,Pasadena,"Vintage Cars",7
France,Nantes,"Vintage Cars",7
USA,"San Diego",Ships,7
Finland,Helsinki,Planes,7
USA,"New Haven","Classic Cars",7
USA,Newark,Motorcycles,7
Denmark,Kobenhavn,"Vintage Cars",6
USA,NYC,Trains,6
France,Reims,Motorcycles,6
Austria,Graz,"Classic Cars",6
UK,London,Planes,6
USA,"New Bedford",Motorcycles,6
USA,Brickhaven,Planes,6
Japan,Minato-ku,Planes,6
France,Toulouse,Planes,6
Canada,Vancouver,"Vintage Cars",6
