Order_Month,customerNumber,country,productLine,productName,Purchase_count,Total_Spent
May,141,Spain,"Classic Cars","1992 Ferrari 360 Spider red",2,14692
August,124,USA,"Classic Cars","2001 Ferrari Enzo",2,12728
December,141,Spain,"Classic Cars","1992 Ferrari 360 Spider red",2,11949
May,141,Spain,"Classic Cars","1998 Chrysler Plymouth Prowler",2,11939
August,124,USA,"Classic Cars","1969 Ford Falcon",2,11790
April,201,UK,Motorcycles,"2003 Harley-Davidson Eagle Drag Bike",1,11503
August,124,USA,"Vintage Cars","1903 Ford Model A",2,11385
April,209,France,"Classic Cars","1969 Dodge Charger",1,11171
May,141,Spain,"Trucks and Buses","1962 Volkswagen Microbus",2,11139
December,141,Spain,"Classic Cars","1956 Porsche 356A Coupe",2,11004
April,450,USA,"Vintage Cars","1917 Grand Touring Sedan",1,10724
April,323,"New Zealand","Classic Cars","1968 Ford Mustang",1,10460
October,124,USA,"Classic Cars","1952 Alpine Renault 1300",1,10286
May,141,Spain,"Classic Cars","1952 Alpine Renault 1300",1,10072
January,141,Spain,"Classic Cars","1992 Ferrari 360 Spider red",2,10048
May,141,Spain,"Trucks and Buses","1957 Chevy Pickup",2,10018
November,458,Spain,"Classic Cars","2001 Ferrari Enzo",1,9974
April,209,France,"Classic Cars","1956 Porsche 356A Coupe",1,9712
November,455,USA,"Classic Cars","2001 Ferrari Enzo",1,9571
December,202,Canada,"Classic Cars","1952 Alpine Renault 1300",1,9569
October,256,France,"Classic Cars","1952 Alpine Renault 1300",1,9468
December,129,USA,Motorcycles,"2003 Harley-Davidson Eagle Drag Bike",1,9394
February,114,Australia,Motorcycles,"2003 Harley-Davidson Eagle Drag Bike",1,9300
August,204,USA,"Classic Cars","1968 Ford Mustang",1,9242
May,141,Spain,Motorcycles,"2003 Harley-Davidson Eagle Drag Bike",1,9110
May,141,Spain,"Trucks and Buses","1964 Mercedes Tour Bus",2,8950
June,151,USA,"Classic Cars","2001 Ferrari Enzo",1,8890
November,382,Austria,"Classic Cars","1968 Ford Mustang",1,8668
April,450,USA,"Classic Cars","1972 Alfa Romeo GTA",1,8617
September,249,Italy,"Classic Cars","2001 Ferrari Enzo",1,8603
May,334,Finland,"Classic Cars","2001 Ferrari Enzo",1,8595
November,146,France,"Classic Cars","1952 Alpine Renault 1300",1,8551
August,124,USA,"Classic Cars","1969 Corvair Monza",2,8471
February,145,Denmark,"Classic Cars","2001 Ferrari Enzo",1,8435
April,328,USA,Planes,"America West Airlines B757-200",1,8391
January,458,Spain,"Vintage Cars","1928 Mercedes-Benz SSK",1,8353
February,119,France,"Classic Cars","1968 Ford Mustang",1,8318
