productLine,productName,Difference,productVendor,salesvolume
"Classic Cars","1992 Ferrari 360 Spider red",91,"Unimax Art Galleries",1808
"Vintage Cars","1937 Lincoln Berline",42,"Motor City Art Classics",1111
Planes,"American Airlines: MD-11S",38,"Second Gear Diecast",1085
"Vintage Cars","1941 Chevrolet Special Deluxe Cabriolet",41,"Exoto Designs",1076
"Vintage Cars","1930 Buick Marquette Phaeton",17,"Studio M Art Models",1074
"Trucks and Buses","1940s Ford truck",36,"Motor City Art Classics",1061
Motorcycles,"1969 Harley Davidson Ultimate Chopper",47,"Min Lin Diecast",1057
"Trucks and Buses","1957 Chevy Pickup",63,"Exoto Designs",1056
"Trucks and Buses","1964 Mercedes Tour Bus",48,"Unimax Art Galleries",1053
"Classic Cars","1956 Porsche 356A Coupe",42,"Classic Metal Creations",1052
