productLine,productName,Difference,productVendor,salesvolume
"Classic Cars","1952 Alpine Renault 1300",116,"Classic Metal Creations",961
"Classic Cars","2001 Ferrari Enzo",112,"Second Gear Diecast",1019
Motorcycles,"2003 Harley-Davidson Eagle Drag Bike",103,"Red Start Diecast",985
"Classic Cars","1968 Ford Mustang",99,"Autoart Studio Design",933
"Vintage Cars","1928 Mercedes-Benz SSK",96,"Gearbox Collectibles",880
"Classic Cars","1992 Ferrari 360 Spider red",91,"Unimax Art Galleries",1808
"Classic Cars","1969 Ford Falcon",90,"Second Gear Diecast",965
Motorcycles,"2002 Suzuki XREO",84,"Unimax Art Galleries",1028
"Vintage Cars","1917 Grand Touring Sedan",83,"Welly Diecast Productions",918
Planes,"1980s Black Hawk Helicopter",80,"Red Start Diecast",1040
