productName,productLine,Sales_Volume,Revenue
"1992 Ferrari 360 Spider red","Classic Cars",1808,276842
"1937 Lincoln Berline","Vintage Cars",1111,102563
"American Airlines: MD-11S",Planes,1085,71754
"1941 Chevrolet Special Deluxe Cabriolet","Vintage Cars",1076,102540
"1930 Buick Marquette Phaeton","Vintage Cars",1074,41601
"1940s Ford truck","Trucks and Buses",1061,114232
"1969 Harley Davidson Ultimate Chopper",Motorcycles,1057,90157
"1957 Chevy Pickup","Trucks and Buses",1056,109949
"1964 Mercedes Tour Bus","Trucks and Buses",1053,117669
"1956 Porsche 356A Coupe","Classic Cars",1052,134238
"Corsair F4U ( Bird Cage)",Planes,1051,62272
"F/A 18 Hornet 1/72",Planes,1047,76617
"1980s Black Hawk Helicopter",Planes,1040,144960
"1913 Ford Model T Speedster","Vintage Cars",1038,97196
"1997 BMW R 1100 S",Motorcycles,1033,105264
"1972 Alfa Romeo GTA","Classic Cars",1030,127923
"1962 Volkswagen Microbus","Trucks and Buses",1029,118773
"2002 Suzuki XREO",Motorcycles,1028,135769
"The USS Constitution Ship",Ships,1020,66695
"2001 Ferrari Enzo","Classic Cars",1019,190757
"1960 BSA Gold Star DBD34",Motorcycles,1015,67194
"1997 BMW F650 ST",Motorcycles,1014,89366
"1957 Corvette Convertible","Classic Cars",1013,130750
"18th century schooner",Ships,1011,112430
"1900s Vintage Tri-Plane",Planes,1009,68276
"1940 Ford Pickup Truck","Trucks and Buses",999,105563
"1996 Moto Guzzi 1100i",Motorcycles,999,109998
"1926 Ford Fire Engine","Trucks and Buses",998,55835
"1982 Camaro Z28","Classic Cars",997,89273
"1939 Cadillac Limousine","Vintage Cars",995,44035
"1917 Maxwell Touring Car","Vintage Cars",992,87637
"1969 Dodge Charger","Classic Cars",992,104210
"2002 Yamaha YZR M1",Motorcycles,992,73670
"1912 Ford Model T Delivery Wagon","Vintage Cars",991,77239
"1904 Buick Runabout","Vintage Cars",990,77799
"1996 Peterbilt 379 Stake Bed with Outrigger","Trucks and Buses",988,57283
"1998 Chrysler Plymouth Prowler","Classic Cars",986,142534
"1934 Ford V8 Coupe","Vintage Cars",985,55176
"2003 Harley-Davidson Eagle Drag Bike",Motorcycles,985,170687
"America West Airlines B757-200",Planes,984,89345
"1936 Chrysler Airflow","Vintage Cars",983,88433
"1958 Chevy Corvette Limited Edition","Classic Cars",983,31627
"Diamond T620 Semi-Skirted Tanker","Trucks and Buses",979,101139
"1970 Dodge Coronet","Classic Cars",976,50255
"1969 Dodge Super Bee","Classic Cars",974,68784
"ATA: B757-300",Planes,973,102787
"1958 Setra Bus","Trucks and Buses",972,119084
"1928 British Royal Navy Airplane",Planes,972,94884
"1928 Ford Phaeton Deluxe","Vintage Cars",972,60492
"1948 Porsche 356-A Roadster","Classic Cars",972,66457
"1971 Alpine Renault 1600s","Classic Cars",969,52337
"1962 City of Detroit Streetcar",Trains,966,52127
"1999 Yamaha Speed Boat",Ships,966,74123
"1969 Ford Falcon","Classic Cars",965,152543
"1969 Corvair Monza","Classic Cars",963,132362
"1952 Alpine Renault 1300","Classic Cars",961,190018
"1936 Mercedes-Benz 500K Special Roadster","Vintage Cars",960,46079
"Boeing X-32A JSF",Planes,960,42692
"1957 Vespa GS150",Motorcycles,959,54024
"Pont Yacht",Ships,958,47551
"1932 Model A Ford J-Coupe","Vintage Cars",957,109993
"1938 Cadillac V-16 Presidential Limousine","Vintage Cars",955,38448
"1954 Greyhound Scenicruiser","Trucks and Buses",955,46519
"The Titanic",Ships,952,84989
"1949 Jaguar XK 120","Classic Cars",949,76670
"1948 Porsche Type 356 Roadster","Classic Cars",948,121656
"1982 Ducati 900 Monster",Motorcycles,947,57995
"1993 Mazda RX-7","Classic Cars",947,114648
"1970 Triumph Spitfire","Classic Cars",945,122258
"1936 Harley Davidson El Knucklehead",Motorcycles,945,49993
"1961 Chevrolet Impala","Classic Cars",941,69122
"1900s Vintage Bi-Plane",Planes,940,58433
"1939 Chevrolet Deluxe Coupe","Vintage Cars",937,28053
"1950's Chicago Surface Lines Streetcar",Trains,934,53790
"The Schooner Bluenose",Ships,934,56454
"1968 Ford Mustang","Classic Cars",933,161533
"1962 LanciaA Delta 16V","Classic Cars",932,123125
"1968 Dodge Charger","Classic Cars",925,98721
"1940 Ford Delivery Sedan","Vintage Cars",923,71209
"1917 Grand Touring Sedan","Vintage Cars",918,140538
"Collectable Wooden Train",Trains,918,82617
"P-51-D Mustang",Planes,917,68742
"1995 Honda Civic","Classic Cars",917,119050
"1976 Ford Gran Torino","Classic Cars",915,121890
"1966 Shelby Cobra 427 S/C","Classic Cars",915,42017
"1965 Aston Martin DB5","Classic Cars",914,101776
"1982 Lamborghini Diablo","Classic Cars",912,30975
"1980â€™s GM Manhattan Express","Trucks and Buses",911,78068
"18th Century Vintage Horse Carriage","Vintage Cars",907,85328
"1982 Ducati 996 R",Motorcycles,906,33269
"1970 Plymouth Hemi Cuda","Classic Cars",900,63492
"The Mayflower",Ships,898,69530
"1974 Ducati 350 Mk3 Desmo",Motorcycles,898,84040
"HMS Bounty",Ships,897,73301
"The Queen Mary",Ships,896,78920
"American Airlines: B767-300",Planes,894,73875
"2002 Chevy Corvette","Classic Cars",894,87403
"1937 Horch 930V Limousine","Vintage Cars",884,52802
