customerNumber,productCode,count(productCode),productVendor,difference,country
141,S18_3232,8,"Unimax Art Galleries",91,Spain
141,S24_1444,6,"Highway 66 Mini Classics",25,Spain
141,S24_2840,6,"Carousel DieCast Legends",19,Spain
141,S50_1392,5,"Highway 66 Mini Classics",47,Spain
141,S32_2509,5,"Classic Metal Creations",28,Spain
141,S24_4048,5,"Exoto Designs",48,Spain
141,S18_2319,5,"Unimax Art Galleries",48,Spain
124,S12_4473,4,"Exoto Designs",63,USA
124,S32_2509,4,"Classic Metal Creations",28,USA
124,S32_1268,4,"Motor City Art Classics",42,USA
124,S24_2840,4,"Carousel DieCast Legends",19,USA
124,S24_2300,4,"Autoart Studio Design",66,USA
124,S18_4668,4,"Studio M Art Models",27,USA
124,S18_3320,4,"Exoto Designs",42,USA
124,S18_2795,4,"Gearbox Collectibles",96,USA
124,S18_2238,4,"Gearbox Collectibles",62,USA
124,S12_3891,4,"Second Gear Diecast",90,USA
124,S12_1108,4,"Second Gear Diecast",112,USA
141,S12_4473,4,"Exoto Designs",63,Spain
141,S50_1514,4,"Classic Metal Creations",21,Spain
141,S32_3207,4,"Gearbox Collectibles",35,Spain
141,S24_3856,4,"Classic Metal Creations",42,Spain
141,S24_3432,4,"Gearbox Collectibles",45,Spain
141,S24_3191,4,"Exoto Designs",35,Spain
141,S24_2972,4,"Second Gear Diecast",22,Spain
141,S24_2766,4,"Classic Metal Creations",44,Spain
141,S24_1046,4,"Unimax Art Galleries",24,Spain
141,S18_4522,4,"Exoto Designs",35,Spain
141,S18_4027,4,"Min Lin Diecast",52,Spain
141,S18_3259,4,"Carousel DieCast Legends",33,Spain
141,S18_3140,4,"Unimax Art Galleries",68,Spain
141,S18_2238,4,"Gearbox Collectibles",62,Spain
124,S12_3148,3,"Welly Diecast Productions",62,USA
124,S24_1444,3,"Highway 66 Mini Classics",25,USA
124,S700_2824,3,"Carousel DieCast Legends",55,USA
124,S700_1138,3,"Autoart Studio Design",33,USA
124,S50_1392,3,"Highway 66 Mini Classics",47,USA
124,S32_3522,3,"Red Start Diecast",31,USA
